OID_,WMU_NY_UNIT,Region,WMU_NY_UNITSQMILE,WMU_NY_MOREINFO,WMU_NY_Shape__Are,WMU_NY_Shape__Len,Buck_2007,Antlerless_2007,Buck_2008,Antlerless_2008,Buck_2009,Antlerless_2009,Buck_2010,Antlerless_2010,Buck_2011,Antlerless_2011,Buck_2012,Antlerless_2012,Buck_2013,Antlerless_2013,Buck_2014,Antlerless_2014,Buck_2015,Antlerless_2015,Buck_2016,Antlerless_2016,Buck_2017,Antlerless_2017,Buck_2018,Antlerless_2018,Buck_2019,Antlerless_2019,Buck_2020,Antlerless_2020,Buck_2021,Antlerless_2021,Buck_Total,Antlerless_Total,BuckPercentTotal,AntlerlessPercentTotal,Tier
11,6F,Region 6,1214,https://www.dec.ny.gov/outdoor/8302.html,3145368973.539999961853027,282596.241113999974914,1224.000000000000000,305.000000000000000,1321.000000000000000,252.000000000000000,986.000000000000000,285.000000000000000,947.000000000000000,331.000000000000000,780.000000000000000,277.000000000000000,972.000000000000000,214.000000000000000,920.000000000000000,257.000000000000000,636.000000000000000,278.000000000000000,577.000000000000000,231.000000000000000,608.000000000000000,89.000000000000000,888.000000000000000,93.000000000000000,802.000000000000000,91.000000000000000,952.000000000000000,87.000000000000000,862.000000000000000,81.000000000000000,845.000000000000000,131.000000000000000,13320.000000000000000,3002.000000000000000,0.225906486613387,0.212317937015382,
12,6G,Region 6,911,https://www.dec.ny.gov/outdoor/8302.html,2360731203.940000057220459,702798.107505999971181,2829.000000000000000,3552.000000000000000,2899.000000000000000,3989.000000000000000,2806.000000000000000,3645.000000000000000,2646.000000000000000,4053.000000000000000,2463.000000000000000,3394.000000000000000,3189.000000000000000,3600.000000000000000,2995.000000000000000,4285.000000000000000,2771.000000000000000,4265.000000000000000,2.390000000000000,2.778000000000000,2.519000000000000,2.968000000000000,2.882000000000000,2.699000000000000,3.089000000000000,3.341000000000000,3353.000000000000000,3123.000000000000000,3370.000000000000000,4543.000000000000000,3128.000000000000000,3213.000000000000000,32459.880000000001019,41673.786000000000058,3.136035502710916,2.947399157608428,
13,6H,Region 6,169,https://www.dec.ny.gov/outdoor/8302.html,438767634.865000009536743,122236.281312000006437,244.000000000000000,220.000000000000000,194.000000000000000,255.000000000000000,171.000000000000000,175.000000000000000,196.000000000000000,276.000000000000000,151.000000000000000,152.000000000000000,210.000000000000000,216.000000000000000,246.000000000000000,189.000000000000000,166.000000000000000,213.000000000000000,137.000000000000000,102.000000000000000,205.000000000000000,155.000000000000000,221.000000000000000,145.000000000000000,261.000000000000000,191.000000000000000,181.000000000000000,117.000000000000000,167.000000000000000,200.000000000000000,178.000000000000000,126.000000000000000,2928.000000000000000,2732.000000000000000,0.205588448177140,0.193222053273159,
14,6J,Region 6,1632,https://www.dec.ny.gov/outdoor/8302.html,4225847257.840000152587891,352016.085075000009965,1490.000000000000000,598.000000000000000,1783.000000000000000,536.000000000000000,898.000000000000000,370.000000000000000,873.000000000000000,319.000000000000000,920.000000000000000,358.000000000000000,1150.000000000000000,398.000000000000000,1175.000000000000000,415.000000000000000,861.000000000000000,326.000000000000000,727.000000000000000,303.000000000000000,901.000000000000000,106.000000000000000,965.000000000000000,69.000000000000000,972.000000000000000,93.000000000000000,1005.000000000000000,94.000000000000000,907.000000000000000,144.000000000000000,846.000000000000000,182.000000000000000,15473.000000000000000,4311.000000000000000,0.324411347032083,0.304897610417492,
15,6N,Region 6,487,https://www.dec.ny.gov/outdoor/8302.html,1262688371.069999933242798,151411.667287999996915,827.000000000000000,162.000000000000000,741.000000000000000,230.000000000000000,606.000000000000000,196.000000000000000,645.000000000000000,254.000000000000000,787.000000000000000,198.000000000000000,1047.000000000000000,193.000000000000000,986.000000000000000,261.000000000000000,616.000000000000000,238.000000000000000,500.000000000000000,208.000000000000000,764.000000000000000,218.000000000000000,739.000000000000000,161.000000000000000,558.000000000000000,224.000000000000000,670.000000000000000,153.000000000000000,810.000000000000000,187.000000000000000,778.000000000000000,127.000000000000000,11074.000000000000000,3010.000000000000000,0.226508502567054,0.212883740978114,
16,6P,Region 6,202,https://www.dec.ny.gov/outdoor/8302.html,523608974.606999993324280,108427.943190999998478,329.000000000000000,241.000000000000000,284.000000000000000,238.000000000000000,265.000000000000000,212.000000000000000,341.000000000000000,297.000000000000000,345.000000000000000,281.000000000000000,488.000000000000000,433.000000000000000,425.000000000000000,490.000000000000000,431.000000000000000,596.000000000000000,381.000000000000000,419.000000000000000,469.000000000000000,488.000000000000000,405.000000000000000,411.000000000000000,483.000000000000000,609.000000000000000,533.000000000000000,509.000000000000000,495.000000000000000,707.000000000000000,510.000000000000000,518.000000000000000,6184.000000000000000,6449.000000000000000,0.485300110649479,0.456108719457761,
17,6R,Region 6,529,https://www.dec.ny.gov/outdoor/8302.html,1369708342.680000066757202,291707.345216999994591,769.000000000000000,839.000000000000000,730.000000000000000,814.000000000000000,999.000000000000000,936.000000000000000,1084.000000000000000,1028.000000000000000,1019.000000000000000,852.000000000000000,1025.000000000000000,904.000000000000000,1001.000000000000000,1001.000000000000000,1100.000000000000000,1158.000000000000000,1.026000000000000,893.000000000000000,1.151000000000000,1.201000000000000,1.028000000000000,911.000000000000000,1.183000000000000,1.052000000000000,1126.000000000000000,843.000000000000000,1069.000000000000000,1192.000000000000000,1037.000000000000000,821.000000000000000,10963.387999999999010,12194.252999999998792,0.917641856130832,0.862444583745380,
18,7H,Region 7,418,https://www.dec.ny.gov/outdoor/8302.html,1084120731.470000028610229,170002.932069000002230,1187.000000000000000,1788.000000000000000,1161.000000000000000,1923.000000000000000,1374.000000000000000,2030.000000000000000,1355.000000000000000,2468.000000000000000,1330.000000000000000,2578.000000000000000,1588.000000000000000,2405.000000000000000,1271.000000000000000,2091.000000000000000,1087.000000000000000,1787.000000000000000,874.000000000000000,1.315000000000000,802.000000000000000,1.367000000000000,918.000000000000000,1.017000000000000,919.000000000000000,1.255000000000000,939.000000000000000,1070.000000000000000,1005.000000000000000,1434.000000000000000,916.000000000000000,993.000000000000000,16726.000000000000000,20571.953999999997905,1.548080563261899,1.454961636793915,
19,7J,Region 7,859,https://www.dec.ny.gov/outdoor/8302.html,2225537673.739999771118164,281743.031927999982145,2207.000000000000000,2979.000000000000000,2325.000000000000000,3239.000000000000000,2827.000000000000000,3873.000000000000000,2934.000000000000000,4164.000000000000000,3059.000000000000000,4096.000000000000000,3286.000000000000000,4376.000000000000000,3037.000000000000000,5266.000000000000000,3197.000000000000000,5184.000000000000000,2.556000000000000,3.981000000000000,2.385000000000000,3.779000000000000,2.250000000000000,3.227000000000000,2.413000000000000,3.951000000000000,2573.000000000000000,3241.000000000000000,2490.000000000000000,3941.000000000000000,2227.000000000000000,3210.000000000000000,30171.603999999999360,43583.938000000001921,3.279778249951934,3.082495603986112,
20,7P,Region 7,477,https://www.dec.ny.gov/outdoor/8302.html,1234647753.690000057220459,206136.076766999991378,,,,,1095.000000000000000,1032.000000000000000,1159.000000000000000,934.000000000000000,1136.000000000000000,806.000000000000000,1292.000000000000000,797.000000000000000,1321.000000000000000,1032.000000000000000,1249.000000000000000,1080.000000000000000,1.206000000000000,723.000000000000000,1.120000000000000,810.000000000000000,1.089000000000000,598.000000000000000,1.318000000000000,904.000000000000000,1353.000000000000000,754.000000000000000,1292.000000000000000,1045.000000000000000,1181.000000000000000,682.000000000000000,11082.733000000000175,11197.000000000000000,0.842596579150599,0.791913371339517,
21,7R,Region 7,729,https://www.dec.ny.gov/outdoor/8302.html,1889254561.359999895095825,213793.609525999985635,2444.000000000000000,4133.000000000000000,2457.000000000000000,4007.000000000000000,2183.000000000000000,3946.000000000000000,2400.000000000000000,4056.000000000000000,2395.000000000000000,3789.000000000000000,2393.000000000000000,3471.000000000000000,2117.000000000000000,3443.000000000000000,1882.000000000000000,3223.000000000000000,1.916000000000000,2.247000000000000,2.025000000000000,2.998000000000000,1.891000000000000,2.431000000000000,2.094000000000000,3.234000000000000,2203.000000000000000,2648.000000000000000,2355.000000000000000,3361.000000000000000,2086.000000000000000,2777.000000000000000,24922.926000000003114,38864.910000000003492,2.924661982227017,2.748740011155391,
22,7S,Region 7,660,https://www.dec.ny.gov/outdoor/8302.html,1708142399.559999942779541,255019.431539000011981,2216.000000000000000,2717.000000000000000,2053.000000000000000,2574.000000000000000,1681.000000000000000,1797.000000000000000,1940.000000000000000,1613.000000000000000,1992.000000000000000,1913.000000000000000,2017.000000000000000,1874.000000000000000,2047.000000000000000,1876.000000000000000,1634.000000000000000,1756.000000000000000,1.756000000000000,1.533000000000000,1.948000000000000,1.744000000000000,2.071000000000000,1.816000000000000,2.113000000000000,2.077000000000000,2409.000000000000000,1845.000000000000000,2447.000000000000000,2985.000000000000000,2129.000000000000000,2138.000000000000000,22572.887999999999010,23095.169999999998254,1.737957599080248,1.633417338247680,
23,8A,Region 8,415,https://www.dec.ny.gov/outdoor/8302.html,1076011597.079999923706055,165524.765982999990229,1094.000000000000000,1767.000000000000000,1045.000000000000000,1777.000000000000000,1002.000000000000000,1790.000000000000000,1088.000000000000000,1973.000000000000000,1069.000000000000000,1935.000000000000000,1183.000000000000000,1889.000000000000000,1189.000000000000000,2068.000000000000000,1111.000000000000000,1897.000000000000000,1.094000000000000,1.877000000000000,1.237000000000000,1.845000000000000,1.341000000000000,1.990000000000000,1.510000000000000,2.304000000000000,1641.000000000000000,2273.000000000000000,1659.000000000000000,2731.000000000000000,1485.000000000000000,2438.000000000000000,13571.181999999998880,22546.015999999999622,1.696632665452771,1.594578149578878,
24,8C,Region 8,145,https://www.dec.ny.gov/outdoor/8302.html,374416282.439000010490417,125689.299704999997630,89.000000000000000,177.000000000000000,105.000000000000000,216.000000000000000,96.000000000000000,224.000000000000000,90.000000000000000,191.000000000000000,119.000000000000000,172.000000000000000,76.000000000000000,123.000000000000000,150.000000000000000,197.000000000000000,127.000000000000000,228.000000000000000,101.000000000000000,195.000000000000000,190.000000000000000,146.000000000000000,154.000000000000000,139.000000000000000,126.000000000000000,171.000000000000000,164.000000000000000,202.000000000000000,200.000000000000000,252.000000000000000,154.000000000000000,149.000000000000000,1941.000000000000000,2782.000000000000000,0.209351047887556,0.196758328040237,
25,8F,Region 8,736,https://www.dec.ny.gov/outdoor/8302.html,1905985799.640000104904175,343615.148161999997683,1995.000000000000000,3792.000000000000000,2002.000000000000000,3243.000000000000000,2069.000000000000000,4063.000000000000000,2132.000000000000000,4633.000000000000000,2430.000000000000000,4329.000000000000000,2759.000000000000000,4381.000000000000000,2980.000000000000000,5141.000000000000000,2730.000000000000000,4405.000000000000000,2.301000000000000,3.732000000000000,2.420000000000000,4.060000000000000,2.449000000000000,3.490000000000000,2.620000000000000,4.104000000000000,2557.000000000000000,3550.000000000000000,2486.000000000000000,4157.000000000000000,2425.000000000000000,3616.000000000000000,26574.789999999997235,45325.385999999998603,3.410825684762030,3.205660376397691,
26,8G,Region 8,696,https://www.dec.ny.gov/outdoor/8302.html,1803520696.359999895095825,209466.177305999997770,2308.000000000000000,4233.000000000000000,2172.000000000000000,3935.000000000000000,2108.000000000000000,4248.000000000000000,2365.000000000000000,4971.000000000000000,2445.000000000000000,4865.000000000000000,2798.000000000000000,5030.000000000000000,2965.000000000000000,5162.000000000000000,2744.000000000000000,5141.000000000000000,2.682000000000000,4.323000000000000,2.899000000000000,4.750000000000000,2.907000000000000,4.125000000000000,2.929000000000000,4.746000000000000,3210.000000000000000,4465.000000000000000,2676.000000000000000,4772.000000000000000,2668.000000000000000,3945.000000000000000,28470.417000000001281,50784.943999999995867,3.821668311758037,3.591790320293701,
27,8H,Region 8,569,https://www.dec.ny.gov/outdoor/8302.html,1474522548.240000009536743,190665.116153999988455,2174.000000000000000,4452.000000000000000,2210.000000000000000,3901.000000000000000,1980.000000000000000,4357.000000000000000,2325.000000000000000,4864.000000000000000,2461.000000000000000,4985.000000000000000,2706.000000000000000,5064.000000000000000,2835.000000000000000,5269.000000000000000,2778.000000000000000,5309.000000000000000,2.562000000000000,4.647000000000000,2.649000000000000,4.663000000000000,2.460000000000000,3.926000000000000,2.493000000000000,4.443000000000000,2742.000000000000000,3810.000000000000000,2594.000000000000000,4826.000000000000000,2721.000000000000000,3861.000000000000000,27536.164000000000669,50715.678999999996449,3.816455982379197,3.586891518858868,
28,8J,Region 8,735,https://www.dec.ny.gov/outdoor/8302.html,1902785694.380000114440918,229476.044797999988077,1745.000000000000000,2591.000000000000000,1524.000000000000000,2203.000000000000000,1660.000000000000000,2803.000000000000000,1909.000000000000000,3227.000000000000000,2114.000000000000000,3516.000000000000000,2273.000000000000000,3737.000000000000000,2355.000000000000000,3831.000000000000000,2059.000000000000000,3293.000000000000000,2.188000000000000,2.856000000000000,1.870000000000000,3.267000000000000,1.909000000000000,2.363000000000000,1.892000000000000,2.735000000000000,2049.000000000000000,2543.000000000000000,1969.000000000000000,3004.000000000000000,1965.000000000000000,2227.000000000000000,21629.859000000000378,32986.221000000005006,2.482278911646482,2.332966819671375,
29,8M,Region 8,307,https://www.dec.ny.gov/outdoor/8302.html,795098743.348000049591064,127617.692456999997376,1055.000000000000000,1551.000000000000000,1017.000000000000000,1698.000000000000000,1051.000000000000000,1487.000000000000000,1124.000000000000000,1360.000000000000000,1077.000000000000000,1435.000000000000000,1365.000000000000000,1479.000000000000000,1191.000000000000000,1599.000000000000000,1466.000000000000000,1872.000000000000000,1.323000000000000,1.866000000000000,1.583000000000000,1.917000000000000,1.566000000000000,2.069000000000000,1.548000000000000,2.225000000000000,1565.000000000000000,2089.000000000000000,1364.000000000000000,2617.000000000000000,1364.000000000000000,2088.000000000000000,13645.020000000002256,19283.076999999997497,1.451089998722657,1.363805172534563,
30,8P,Region 8,351,https://www.dec.ny.gov/outdoor/8302.html,908644057.437999963760376,152818.694603000010829,1354.000000000000000,1464.000000000000000,1217.000000000000000,1902.000000000000000,1099.000000000000000,1336.000000000000000,1065.000000000000000,1247.000000000000000,1214.000000000000000,876.000000000000000,1191.000000000000000,1225.000000000000000,1109.000000000000000,1103.000000000000000,1183.000000000000000,1097.000000000000000,1.089000000000000,783.000000000000000,1.189000000000000,828.000000000000000,1.228000000000000,708.000000000000000,1.231000000000000,894.000000000000000,1521.000000000000000,794.000000000000000,1198.000000000000000,1417.000000000000000,1397.000000000000000,998.000000000000000,13552.736999999999171,16672.000000000000000,1.254601247441171,1.179135458334592,
31,8R,Region 8,287,https://www.dec.ny.gov/outdoor/8302.html,744285436.205999970436096,147723.001740000006976,1150.000000000000000,2264.000000000000000,1285.000000000000000,2239.000000000000000,1336.000000000000000,2520.000000000000000,1405.000000000000000,3239.000000000000000,1547.000000000000000,3092.000000000000000,1688.000000000000000,3113.000000000000000,1660.000000000000000,3478.000000000000000,1620.000000000000000,3350.000000000000000,1.500000000000000,2.686000000000000,1.576000000000000,2.678000000000000,1.309000000000000,2.366000000000000,1.433000000000000,2.922000000000000,1470.000000000000000,2424.000000000000000,1428.000000000000000,3128.000000000000000,1572.000000000000000,2635.000000000000000,16166.817999999999302,31492.652000000001863,2.369884865908750,2.227333412319567,
32,8S,Region 8,280,https://www.dec.ny.gov/outdoor/8302.html,726381125.210999965667725,134662.236505000008037,692.000000000000000,496.000000000000000,737.000000000000000,383.000000000000000,777.000000000000000,750.000000000000000,859.000000000000000,916.000000000000000,863.000000000000000,950.000000000000000,901.000000000000000,910.000000000000000,868.000000000000000,1089.000000000000000,754.000000000000000,1197.000000000000000,675.000000000000000,786.000000000000000,883.000000000000000,766.000000000000000,801.000000000000000,843.000000000000000,795.000000000000000,971.000000000000000,836.000000000000000,804.000000000000000,947.000000000000000,1419.000000000000000,968.000000000000000,1058.000000000000000,12356.000000000000000,13338.000000000000000,1.003711098750620,0.943336656865810,
33,8T,Region 8,375,https://www.dec.ny.gov/outdoor/8302.html,970856293.128999948501587,140464.409003000007942,1535.000000000000000,1856.000000000000000,1442.000000000000000,1914.000000000000000,1457.000000000000000,1939.000000000000000,1504.000000000000000,1610.000000000000000,1423.000000000000000,1429.000000000000000,1585.000000000000000,1322.000000000000000,1282.000000000000000,1199.000000000000000,1295.000000000000000,1310.000000000000000,1.385000000000000,1.163000000000000,1.389000000000000,1.039000000000000,1.720000000000000,1.145000000000000,1.730000000000000,1.524000000000000,2284.000000000000000,1435.000000000000000,1977.000000000000000,2599.000000000000000,1891.000000000000000,1745.000000000000000,17681.223999999998341,18362.870999999999185,1.381842662140193,1.298723147368281,
34,8W,Region 8,436,https://www.dec.ny.gov/outdoor/8302.html,1129077629.089999914169312,160126.178260999993654,1419.000000000000000,1466.000000000000000,1312.000000000000000,1895.000000000000000,1175.000000000000000,1452.000000000000000,1294.000000000000000,1086.000000000000000,1393.000000000000000,1156.000000000000000,1321.000000000000000,1305.000000000000000,1273.000000000000000,1057.000000000000000,1219.000000000000000,927.000000000000000,1.204000000000000,806.000000000000000,1.200000000000000,768.000000000000000,1.360000000000000,688.000000000000000,1.372000000000000,1.023000000000000,1573.000000000000000,805.000000000000000,1724.000000000000000,1469.000000000000000,1644.000000000000000,1274.000000000000000,15352.136000000000422,16155.022999999999229,1.215697697231334,1.142572003929395,
35,8X,Region 8,393,https://www.dec.ny.gov/outdoor/8302.html,1019129438.889999985694885,187339.780372000008356,1878.000000000000000,2758.000000000000000,1783.000000000000000,3272.000000000000000,1748.000000000000000,2518.000000000000000,1672.000000000000000,2634.000000000000000,1600.000000000000000,2407.000000000000000,1846.000000000000000,2103.000000000000000,1631.000000000000000,2312.000000000000000,1505.000000000000000,2492.000000000000000,1.685000000000000,2.248000000000000,1.545000000000000,2.019000000000000,1.827000000000000,1.942000000000000,1.956000000000000,2.419000000000000,2521.000000000000000,2771.000000000000000,2222.000000000000000,3470.000000000000000,2058.000000000000000,2885.000000000000000,20471.012999999999010,29630.628000000000611,2.229763846644990,2.095640842581682,
36,8Y,Region 8,352,https://www.dec.ny.gov/outdoor/8302.html,911016015.799000024795532,150852.450122000009287,1247.000000000000000,1417.000000000000000,1257.000000000000000,1599.000000000000000,1011.000000000000000,1198.000000000000000,1279.000000000000000,963.000000000000000,1313.000000000000000,1253.000000000000000,1344.000000000000000,1587.000000000000000,1235.000000000000000,1196.000000000000000,1102.000000000000000,1097.000000000000000,1.319000000000000,1.078000000000000,1.283000000000000,988.000000000000000,1.340000000000000,1.005000000000000,1.269000000000000,1.152000000000000,1534.000000000000000,1002.000000000000000,1512.000000000000000,1785.000000000000000,1246.000000000000000,1157.000000000000000,14085.210999999999331,15245.234999999998763,1.147234335924532,1.078226796973582,
37,9A,Region 9,466,https://www.dec.ny.gov/outdoor/8302.html,1208187524.559999942779541,240049.763120999996318,953.000000000000000,1409.000000000000000,939.000000000000000,1229.000000000000000,854.000000000000000,1385.000000000000000,951.000000000000000,1621.000000000000000,1025.000000000000000,1490.000000000000000,1039.000000000000000,1584.000000000000000,1013.000000000000000,1350.000000000000000,877.000000000000000,1285.000000000000000,865.000000000000000,1.265000000000000,1.016000000000000,1.310000000000000,889.000000000000000,969.000000000000000,943.000000000000000,1.200000000000000,1132.000000000000000,1259.000000000000000,1201.000000000000000,1648.000000000000000,1143.000000000000000,1525.000000000000000,13825.015999999999622,16757.775000000001455,1.261055987244390,1.185201937697515,
38,9F,Region 9,275,https://www.dec.ny.gov/outdoor/8302.html,712010442.804000020027161,174603.471794000011869,920.000000000000000,1030.000000000000000,884.000000000000000,1137.000000000000000,903.000000000000000,1407.000000000000000,964.000000000000000,1703.000000000000000,994.000000000000000,1490.000000000000000,1020.000000000000000,1573.000000000000000,963.000000000000000,1520.000000000000000,960.000000000000000,1478.000000000000000,764.000000000000000,1.127000000000000,831.000000000000000,1.058000000000000,885.000000000000000,1.069000000000000,974.000000000000000,1.228000000000000,894.000000000000000,1185.000000000000000,983.000000000000000,1298.000000000000000,870.000000000000000,1242.000000000000000,13809.000000000000000,15067.481999999999971,1.133858068198020,1.065655128000133,
