OID_,NAME,ABBREV,GNIS_ID,FIPS_CODE,SWIS,NYSP_ZONE,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,NYC,CALC_SQ_MI,DATEMOD,SHAPE_Length,SHAPE_Area,PerProt,BearTake
29,Montgomery,MONT,974127,36057,270000,East,51981,49708,50219,49532,,,N,409.990460562589988,2/1/2018 0:00:00,148787.555439001735067,1061870023.914022684097290,2.775292644000000,23.000000000000000
30,Nassau,NASS,974128,36059,280000,Long Island,1287348,1334544,1339532,1395774,,,N,446.637468389582011,4/12/2018 0:00:00,168031.811100611230358,1156785277.199771165847778,3.782017479000000,0.000000000000000
31,New York,NEWY,974129,36061,620000,Long Island,1487536,1537195,1585873,1694251,,,Y,33.725634165975301,10/4/2019 0:00:00,60023.602706097473856,87348957.639474838972092,12.581568400000000,0.000000000000000
32,Niagara,NIAG,974130,36063,290000,West,220756,219846,216469,212666,,,N,1140.646684561090069,3/26/2018 0:00:00,261349.546731553535210,2954260282.681933879852295,0.801554366000000,1.000000000000000
33,Oneida,ONEI,974131,36065,300000,Central,250836,235469,234878,232125,,,N,1257.212143078470035,3/9/2018 0:00:00,307348.978118070168421,3256163307.821961879730225,7.388127770000000,283.000000000000000
34,Onondaga,ONON,974132,36067,310000,Central,468973,458336,467026,476516,,,N,805.022175249186944,7/18/2018 0:00:00,235290.678531580313575,2084997094.411407470703125,3.339104744000000,0.000000000000000
35,Ontario,ONTA,974133,36069,320000,Central,95101,100224,107931,112458,,,N,662.478899432806998,2/8/2018 0:00:00,216680.206901879952056,1715811840.843555927276611,2.725243471000000,24.000000000000000
36,Orange,ORAN,974134,36071,330000,East,307647,341367,372813,401310,,,N,837.150599979005051,5/15/2020 0:00:00,224866.636623775149928,2168209262.956421375274658,14.410570979999999,1239.000000000000000
37,Orleans,ORLE,974135,36073,340000,West,41846,44171,42883,40343,,,N,812.168987251910949,2/12/2018 0:00:00,186740.243384161149152,2103507259.360918045043945,0.221059087000000,1.000000000000000
38,Oswego,OSWE,974136,36075,350000,Central,121771,122377,122109,117525,,,N,1400.452441210320103,3/26/2018 0:00:00,307605.641797590476926,3627153852.595690727233887,5.998097680000000,13.000000000000000
39,Otsego,OTSE,974137,36077,360000,East,60517,61676,62259,58524,,,N,1014.863282957730007,5/19/2020 0:00:00,280625.563129788206425,2628482850.301795482635498,3.774790849000000,87.000000000000000
40,Putnam,PUTN,974138,36079,370000,East,83941,95745,99710,97668,,,N,245.989024105005996,11/8/2018 0:00:00,110496.822123359874240,637108401.198410511016846,16.680008160000000,18.000000000000000
41,Queens,QUEE,974139,36081,630000,Long Island,1951598,2229379,2230722,2405464,,,Y,179.512512595362011,10/4/2019 0:00:00,141111.420181973371655,464935089.828231275081635,11.885404570000000,0.000000000000000
42,Rensselaer,RENS,974140,36083,380000,East,154429,152538,159429,161130,,,N,665.088348391515979,11/10/2017 0:00:00,177749.454913473629858,1722570269.410752534866333,6.131536019000000,174.000000000000000
43,Richmond,RICH,974141,36085,640000,Long Island,378977,443728,468730,495747,,,Y,102.460853887653002,10/4/2019 0:00:00,67419.762198093812913,265372289.110686093568802,13.422768209999999,0.000000000000000
44,Rockland,ROCK,974142,36087,390000,East,265475,286753,311687,338329,,,N,199.341840947857008,10/4/2019 0:00:00,103259.413936043623835,516292797.235935211181641,25.927288930000000,32.000000000000000
45,Saratoga,SARA,974143,36091,410000,East,181276,200635,219607,235509,,,N,843.594041522689054,11/10/2017 0:00:00,244735.803669242042815,2184897728.756929874420166,5.645135453000000,170.000000000000000
46,Schenectady,SCHE,974144,36093,420000,East,149285,146555,154727,158061,,,N,209.553861212559013,11/8/2018 0:00:00,118236.385564568496193,542741811.289291143417358,0.856763828000000,10.000000000000000
